Side;Opponent;Round;Number;Attacks;Text;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25
Reviewer_1;Author;1;1;0;My principle concern is with the logical construction of the paper. Each of these departures undermines the authors’ claims of validating the CIRA method. Given the number and apparent scope of adaptations of the CIRA method, I am not sure that I am more familiar with CIRA or its advantages having read the paper than I was previously.;;;;;;;;;;;;;;;;;;;;
Reviewer_1;Author;1;2;0;While the authors describe the process as a case study, the procedure they use is a table top exercise. Rather than developing a case through research, interviews, or observation, they presented a stylized scenario to academic peers for discussion. Given their process, the claim to validate the methodology is incorrect.;;;;;;;;;;;;;;;;;;;;
Reviewer_1;Author;1;3;0;I would recommend re-formatting the paper as a pedagogical tool. Rather than claiming to validate the method, focus on a detailed step by step examination of its implementation using a known outcome.;;;;;;;;;;;;;;;;;;;;
Reviewer_1;Author;1;4;0;As a separate recommendation, the paper needs smoother transitions between topics on pages 2-7. The authors should add one or two lines smoothing the flow for the reader, rather than relying on subject headings;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_1;2;1;1;I have tried to address your principle concern by improving the scope of the work, revising the method section, results, discussion and conclusion.;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_1;2;2;2;I have tried to address your principle concern by improving the scope of the work, revising the method section, results, discussion and conclusion.;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_1;2;3;3;I have tried to address your principle concern by improving the scope of the work, revising the method section, results, discussion and conclusion.;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_1;2;4;4;I have tried to address your principle concern by improving the scope of the work, revising the method section, results, discussion and conclusion.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;1;0;The paper is on the one hand quite verbose, but with respect to the peer review incomplete. Possible risks in peer review are many more than the ones listed in Table 3.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;2;0;The line of reasoning in the paper is not easy to follow.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;3;0;The paper can become stronger if it limits itself to the Peer Review Ring Incident and will look at the various aspects of that scenario including risk reducing measures.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;4;0;The role of the journal editor is to my experience much stronger than depicted.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;5;0;Much of what is analyzed and concluded is rather obvious.;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;6;0;It didn't become clear to me as a reader where the specific results of the 13 steps of the CIRA application are and where these are described. What are the conclusions about the root cause? Or are there multiple root causes? And what definition of root cause is used?;;;;;;;;;;;;;;;;;;;;
Reviewer_2;Author;1;7;0;There are flaws in the English singular/plural verb grammar. ;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;5;1;I have tried to improve the information density of the paper from being to verbiose;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;6;3;I have added the results of the stakeholder analysis to improve the communication our view of the PRP.;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;7;2;I have tried to address your other concerns by improving the scope of the work, revising the method section, results, discussion and conclusion.;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;8;5;I have tried to address your other concerns by improving the scope of the work, revising the method section, results, discussion and conclusion.;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_2;2;9;6;I have tried to address your other concerns by improving the scope of the work, revising the method section, results, discussion and conclusion.;;;;;;;;;;;;;;;;;;;;
Reviewer_3;Author;1;1;0;However, the originality level and based on that, the contribution of your research/work is not too clear. The way you conducted your literature review, the existing work has not been completely explained in order for readers to see what the novelty/originality of your study/research is.;;;;;;;;;;;;;;;;;;;;
Reviewer_3;Author;1;2;0;Regarding section 2, literature review should usually be structured with explicitly stating what types of methodologies have already been developed/are existing in the context of what you studied or conducted your research on.;;;;;;;;;;;;;;;;;;;;
Reviewer_3;Author;1;3;0;there is not enough explanation about the CIRA and the person(s) who developed this method. Also there is not enough clarification and elaboration on the differences of your work on CIRA and your customizations comparing to the original methodology.;;;;;;;;;;;;;;;;;;;;
Reviewer_3;Author;1;4;0;There are some consistency issues in your writing. This does not look professional in scientific papers.																		;;;;;;;;;;;;;;;;;;;;
Reviewer_3;Author;1;5;0;There are some typos, punctuations and grammatical errors in the paper;;;;;;;;;;;;;;;;;;;;
Author;Reviewer_3;2;10;3;I have elaborated on all the areas you commented, and clarified the CIRA methodology and hopefully my contribution;;;;;;;;;;;;;;;;;;;;
